Date,Time,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindDir,WindRun,HiSpeed,HiDir,WindChill,HeatIndex,THWIndex,THSWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,HeatD-D,CoolD-D,InTemp,InHum,InDew,InHeat,InEMC,InAirDensity,ET,WindSamp,WindTx,ISSRecept,ArcInt
10/1/2017,12:15 AM,13.2,13.4,13.2,79,9.7,0,N,0,0.9,N,13.2,13,13,10.3,825.3,0,0,0,0,0,0.053,0,22.6,52,12.3,22.3,9.6,0.0597,0,350,1,100,15
20/1/2017,12:30 AM,13.1,13.2,13.1,80,9.7,0,N,0,0.9,N,13.1,12.9,12.9,10.3,825.4,0,0,0,0,0,0.054,0,22.4,52,12,22.1,9.6,0.0597,0,350,1,100,15
30/1/2017,12:45 AM,13,13.1,13,79,9.4,0,N,0,0.9,N,13,12.8,12.8,10.1,825.3,0,0,0,0,0,0.056,0,22.2,52,11.9,21.8,9.61,0.0598,0,349,1,100,15
10/2/2017,1:00 AM,12.8,13,12.8,78,9.1,0,N,0,2.6,N,12.8,12.6,12.6,9.9,825.3,0,0,0,0,0,0.057,0,22.1,53,12.1,21.7,9.78,0.0598,0.03,350,1,100,15
20/2/2017,1:15 AM,12.7,12.8,12.7,78,9,0,N,0,1.7,N,12.7,12.5,12.5,9.8,825.3,0,0,0,0,0,0.058,0,22,53,12,21.6,9.79,0.0598,0,348,1,100,15
28/2/2017,1:30 AM,12.6,12.8,12.6,81,9.4,0,N,0,0.9,N,12.6,12.4,12.4,9.7,825.2,0,0,0,0,0,0.06,0,21.9,55,12.4,21.5,10.12,0.0598,0,352,1,100,15
10/3/2017,1:45 AM,12.4,12.6,12.3,81,9.2,0,N,0,1.7,N,12.4,12.2,12.2,9.6,825.2,0,0,0,0,0,0.062,0,21.9,57,13,21.6,10.49,0.0598,0,351,1,100,15
20/3/2017,2:00 AM,12.4,12.4,12.3,81,9.3,0,N,0,0.9,N,12.4,12.3,12.3,9.6,825.2,0,0,0,0,0,0.061,0,21.9,57,13,21.6,10.49,0.0598,0.03,350,1,100,15
30/3/2017,2:15 AM,12.4,12.5,12.4,80,9.1,0,N,0,1.7,N,12.4,12.3,12.3,9.6,825.1,0,0,0,0,0,0.061,0,21.7,57,12.8,21.3,10.51,0.0598,0,351,1,100,15
10/4/2017,2:30 AM,12.6,12.6,12.4,82,9.6,0,N,0,0.9,N,12.6,12.5,12.5,9.8,824.9,0,0,0,0,0,0.06,0,21.4,58,12.8,21.1,10.73,0.0598,0,352,1,100,15
20/4/2017,2:45 AM,12.5,12.6,12.5,82,9.5,0,N,0,1.7,N,12.5,12.4,12.4,9.7,824.8,0,0,0,0,0,0.061,0,21.2,58,12.6,20.8,10.74,0.0599,0,351,1,100,15
30/4/2017,3:00 AM,12.7,12.7,12.5,81,9.5,0,N,0,0.9,N,12.7,12.5,12.5,9.8,824.7,0,0,0,0,0,0.059,0,21.1,59,12.7,20.7,10.95,0.0599,0,350,1,100,15
10/5/2017,3:15 AM,12.8,12.8,12.6,81,9.6,0,N,0,1.7,N,12.8,12.6,12.6,9.9,824.6,0,0,0,0,0,0.058,0,20.8,59,12.5,20.5,10.95,0.06,0,350,1,100,15
20/5/2017,3:30 AM,13,13,12.8,80,9.6,0,---,0,0,---,13,12.8,12.8,10.2,824.7,0,0,0,0,0,0.056,0,20.7,60,12.6,20.4,11.05,0.06,0,351,1,100,15
30/5/2017,3:45 AM,12.9,13,12.9,81,9.8,0,N,0,1.7,N,12.9,12.8,12.8,10.1,824.6,0,0,0,0,0,0.056,0,20.6,61,12.8,20.4,11.25,0.06,0,351,1,100,15
10/6/2017,4:00 AM,12.9,13,12.8,81,9.7,0,---,0,0,---,12.9,12.7,12.7,10.1,824.6,0,0,0,0,0,0.057,0,20.4,61,12.6,20.2,11.25,0.06,0.03,349,1,100,15
20/6/2017,4:15 AM,12.6,12.9,12.6,82,9.6,0,N,0,0.9,N,12.6,12.5,12.5,9.8,824.7,0,0,0,0,0,0.06,0,20.3,62,12.8,20.1,11.38,0.0601,0,349,1,100,15
30/6/2017,4:30 AM,12.4,12.6,12.4,83,9.6,0,N,0,0.9,N,12.4,12.3,12.3,9.7,824.6,0,0,0,0,0,0.061,0,20.1,63,12.8,20,11.59,0.0601,0,351,1,100,15
10/7/2017,4:45 AM,12.4,12.4,12.4,82,9.4,0,N,0,0.9,N,12.4,12.3,12.3,9.6,824.7,0,0,0,0,0,0.062,0,20,63,12.7,19.8,11.59,0.0601,0,351,1,100,15
20/7/2017,5:00 AM,12.3,12.4,12.3,82,9.3,0,N,0,1.7,N,12.3,12.2,12.2,9.5,824.7,0,0,0,0,0,0.063,0,19.9,64,12.9,19.8,11.69,0.0601,0,350,1,100,15
30/7/2017,5:15 AM,12.2,12.3,12.2,83,9.4,0,N,0,1.7,N,12.2,12.1,12.1,9.4,824.8,0,0,0,0,0,0.064,0,19.7,64,12.7,19.6,11.7,0.0602,0,350,1,100,15
10/8/2017,5:30 AM,12.1,12.2,12.1,84,9.4,0,N,0,0.9,N,12.1,12,12,9.3,825,0,0,0,0,0,0.065,0,19.6,64,12.6,19.4,11.7,0.0602,0,350,1,100,15
20/8/2017,5:45 AM,11.9,12.1,11.9,85,9.5,0,---,0,0,---,11.9,11.9,11.9,9.2,825,0,0,0,0,0,0.067,0,19.5,64,12.5,19.3,11.71,0.0603,0,350,1,100,15
30/8/2017,6:00 AM,11.9,11.9,11.9,84,9.3,0,NNE,0,3.5,NNE,11.9,11.8,11.8,9.2,825,0,0,0,0,0,0.067,0,19.3,65,12.6,19.2,11.91,0.0603,0,350,1,100,15
10/9/2017,6:15 AM,11.8,11.9,11.8,84,9.2,0,NNE,0,3.5,N,11.8,11.8,11.8,9.1,825.3,0,0,0,0,0,0.068,0,19.2,65,12.5,19.1,11.92,0.0603,0,351,1,100,15
20/9/2017,6:30 AM,11.8,11.8,11.8,83,9,0,---,0,0,---,11.8,11.7,11.7,9,825.3,0,0,0,0,0,0.068,0,19.1,66,12.6,18.9,12.15,0.0604,0,350,1,100,15
